Count_of_sizes,Name_ of_colors,Product_code
['45'],OLIVE GREEN,FGC0BD0R7961Z
"['44', '45']",CAMEL,FGC0X6022681B
"['42', '43', '44']",GREY,FGC0150S6912A
['43'],BROWN,FGC0R70U8392A
"['40', '41']",SNAYPE,FGC0H9029791A
"['44', '45']",BROWN,FGC0B2008741B
"['39', '40']",BROWN,FGC018146782A
"['42', '44']",DBROWN,FGC0150S6852A
['42'],KHAKI,FGC0L5019811A
['42'],BROWN,FGC0150S6872A
['40'],CAMEL,FGC0H9027811A
"['40', '41', '42', '43', '44', '45']",BLACK,FGC026041122A
,,FGC0Y9039132A
"['40', '41', '42', '43', '44', '45']",WHITE,FGC0Z7044742A
,,FGC0Z7041612A
"['40', '41', '42', '43', '44', '45']",BLACK,FGC0Z7044752A
"['41', '45']",BLACK/LGREY,FGC0Y9040822A
"['41', '42', '43', '44']",GREY,FGC0Z7041642A
"['40', '41', '42', '43', '44', '45']",SNAYPE,FGC0L4033001A
"['40', '41', '44', '45']",TEAL,FGC026041142A
"['40', '41', '42', '43', '44', '45']",DGREY,FGC0Y9039142A
"['40', '41']",NAVY,FGC0Z7040072A
['40'],RED,FGC0C8012921B
"['40', '41', '42', '44', '45']",GREY,FGC0Y9041192A
"['39', '40', '41', '42', '43', '44', '45']",WHITE/BLUE,FGC0DN0AR892A
"['39', '40', '41', '42', '43', '44', '45']",LGREY/ORANGE,FGC0DY0AR872A
"['40', '41', '42', '43', '44', '45']",BLACK,FGC0H40S9622A
"['39', '40', '41', '42', '43', '44', '45']",BLACK,FGC0DN0AR922A
"['39', '40', '41', '42', '43', '44', '45']",WHITE/BLACK,FGC0DN0AR882A
"['40', '41', '42', '43', '44', '45']",WHITE,FGC0H40S9632A
"['40', '41', '42', '43', '44', '45']",BLUE,FGC0H40S7552A
"['40', '41', '42', '43', '44', '45']",BLACK/RED,FGC0Y9040932A
"['40', '41', '42', '43', '44', '45']",BLACK,FGC0H40S7562A
"['40', '41', '42', '43', '44', '45']",BEIGE,FGC0H40S9642A
"['40', '41', '42', '43', '44', '45']",RB BROWN,FGC0Z3024211C
"['40', '41', '42', '43', '44', '45']",BEIGE,FGC0510R2012A
"['39', '40', '41', '42', '43', '44', '45']",WHITE,FGC0DN0AR912A
"['40', '42', '43', '44', '45']",WHITE,FGC0510R2022A
"['40', '41', '42', '43', '44', '45']",NAVY,FGC0BB033761A
"['40', '41', '42', '43', '44', '45']",BLUE,FGC0H40S7542A
"['40', '41', '42', '43', '44', '45']",BLACK,FGC0H40S7572A
"['40', '41', '42', '43', '44', '45']",GREY,FGC0510R2032A
"['40', '41', '42', '43', '44', '45']",BLACK/LGREY,FGC0EM0S0152A
"['40', '41', '42', '43', '44', '45']",OLIVE,FGC0H40T3262A
"['40', '41', '42', '43', '44', '45']",BLACK,FGC0510R1992A
"['40', '41', '42', '43', '44', '45']",BLACK/GREY,FGC0180T8762A
"['40', '41', '42', '43', '44', '45']",BLUE/WHITE,FGC0180T8752A
"['39', '40', '41', '42', '43', '44']",DOVE WHITE,FGC0B3025091A
"['42', '43', '44', '45']",DGREY,FGC051028671A
"['41', '42', '43', '44', '45']",NAVY,FGC0510S0112A
"['40', '41', '42', '43', '44', '45']",LGREY,FGC0510R2062A
"['39', '40', '41', '42', '43', '44', '45']",NAVY,FGC0V2025091A
"['41', '42', '43', '44', '45']",SAND,FGC0DY0S0072A
"['40', '41', '42', '43', '44', '45']",BLUE,FGC0180V3512A
[],CAMEL,FGC0G2030171A
"['40', '41', '42', '43', '44', '45']",ARMY,FGC0150S0032A
"['41', '42', '43', '44']",GREY,FGC0Z7041542A
"['41', '44', '45']",DGREEN,FGC028030281A
['40'],GREY,FGC0H40U8442A
[],NAVY,FGC031039112A
"['39', '40', '41', '42', '43', '44']",DNAVY,FGC089024571A
"['40', '41', '42', '43', '44', '45']",WHITE,FGC0H40U8012A
"['40', '41', '42', '44']",NAVY,FGC0Z7041632A
"['42', '43', '44', '45']",NAVY/BROWN,FGC0150S0042A
"['40', '41', '42']",CASHEW BROWN,FGC0L4037411A
"['42', '43', '44']",WHITE,FGC031039122A
['40'],GREY,FGC0Y9040752A
"['40', '41', '44']",BROWN,FGC051019771A
"['40', '41', '43', '44', '45']",SNAYPE,FGC0AR025091A
"['43', '44', '45']",LBROWN/WHITE,FGC0510S0102A
"['40', '43', '44', '45']",SNAYPE,FGC0AR025131A
"['40', '41', '42', '43', '44']",BLACK,FGC0AJ024991A
"['39', '40', '41', '42', '43']",WHITE,FGC0H40U8002A
['44'],NAVY/GREY,FGC0510T7812A
"['41', '43', '44', '45']",BLACK/APPLE GREEN,FGC0Y9040922A
